Model_Type,Model_Name,Temperature,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
Ollama,llama3.2:3b,0.0,1.910586898814275,0.11498222016871051,0.07731868131868133,0.11498222016871051
Ollama,llama3.2:3b,0.2,2.188179389818826,0.17914428905541502,0.09928425548872367,0.17914428905541502
Ollama,llama3.2:3b,0.5,2.076509607637533,0.17697379020242274,0.09947753396029257,0.17697379020242274
Ollama,llama3.2:3b,0.8,2.0925835024022814,0.1458926407630797,0.10173049248480973,0.1458926407630797
Ollama,llama3.2:3b,1.0,1.8092471674223256,0.09968597411022309,0.05818928818928819,0.09968597411022309
Ollama,mistral:7b,0.0,5.25473881768382,0.4798930481283422,0.3507692307692308,0.4681283422459893
Ollama,mistral:7b,0.2,5.779312162730391,0.5688833746898263,0.45986013986013985,0.5688833746898263
Ollama,mistral:7b,0.5,4.861784507657777,0.5172549019607844,0.3960405485986881,0.4937254901960785
Ollama,mistral:7b,0.8,2.291996691728619,0.3462517649614424,0.17225464190981432,0.309888128597806
Ollama,mistral:7b,1.0,4.768614009695784,0.43110912076429325,0.28666666666666674,0.43110912076429325
HuggingFace,Marian-Finetuned,0.0,49.01530271783998,0.7805194805194805,0.5688888888888888,0.7805194805194805
HuggingFace,Marian-Finetuned,0.2,49.01530271783998,0.7805194805194805,0.5688888888888888,0.7805194805194805
HuggingFace,Marian-Finetuned,0.5,49.01530271783998,0.7233766233766235,0.5688888888888888,0.7233766233766235
HuggingFace,Marian-Finetuned,0.8,49.01530271783998,0.7090909090909091,0.5555555555555556,0.7090909090909091
HuggingFace,Marian-Finetuned,1.0,49.01530271783998,0.7805194805194805,0.5688888888888888,0.7805194805194805
HuggingFace,T5-Finetuned,0.0,34.273586546324736,0.8880952380952382,0.6666666666666667,0.8880952380952382
HuggingFace,T5-Finetuned,0.2,34.273586546324736,0.8880952380952382,0.6666666666666667,0.8880952380952382
HuggingFace,T5-Finetuned,0.5,34.273586546324736,0.8880952380952382,0.6666666666666667,0.8880952380952382
HuggingFace,T5-Finetuned,0.8,34.273586546324736,0.8880952380952382,0.6666666666666667,0.8880952380952382
HuggingFace,T5-Finetuned,1.0,34.273586546324736,0.8880952380952382,0.6666666666666667,0.8880952380952382
